threshold,tp,fp,tn,fn,false_acceptance_rate,false_rejection_rate,precision,recall,specificity,f1,balanced_accuracy,g_mean,coverage,accepted_critical_failures_confirmed,accepted_failures_worst_case_critical,accepted_fail_case_ids,far_ci95_lower_two_sided,far_ci95_upper_two_sided,far_upper_95_one_sided,precision_ci95_lower,precision_ci95_upper,fixed_cv_f1_std,fixed_cv_recall_std,fixed_cv_far_compliance_rate
0.0,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.001,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.002,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.003,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.004,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.005,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.006,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.007,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.008,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.009,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
