repeat,fold,status,training_threshold,train_size,test_size,train_pass,train_fail,test_pass,test_fail,train_leakage_groups,test_leakage_groups,test_technical_far,test_precision,test_recall,test_f1,test_coverage,test_accepted_high_risk_proxy_failures,test_far_le_5pct
1,1,OK,0.7888,236,1,117,119,1,0,45,1,0.0,1.0,1.0,1.0,1.0,0,True
1,2,OK,0.7888,218,19,104,114,14,5,36,10,0.0,1.0,1.0,1.0,0.7368421052631579,0,True
1,3,OK,0.813,217,20,101,116,17,3,34,12,0.0,1.0,0.8235294117647058,0.9032258064516129,0.7,0,True
1,4,OK,0.7888,223,14,106,117,12,2,34,12,0.0,1.0,0.9166666666666666,0.9565217391304348,0.7857142857142857,0,True
1,5,OK,0.675,54,183,44,10,74,109,35,11,0.09174311926605505,0.875,0.9459459459459459,0.9090909090909091,0.4371584699453552,10,False
2,1,OK,0.7888,236,1,117,119,1,0,45,1,0.0,1.0,1.0,1.0,1.0,0,True
2,2,OK,0.7888,224,13,106,118,12,1,34,12,0.0,1.0,1.0,1.0,0.9230769230769231,0,True
2,3,OK,0.813,210,27,97,113,21,6,35,11,0.0,1.0,0.8095238095238095,0.8947368421052632,0.6296296296296297,0,True
2,4,OK,0.7888,197,40,93,104,25,15,34,12,0.0,1.0,0.84,0.9130434782608696,0.525,0,True
2,5,OK,0.576,81,156,59,22,59,97,36,10,0.12371134020618557,0.8309859154929577,1.0,0.9076923076923077,0.4551282051282051,12,False
3,1,OK,0.7888,236,1,117,119,1,0,45,1,0.0,1.0,1.0,1.0,1.0,0,True
3,2,OK,0.7888,218,19,101,117,17,2,34,12,0.0,1.0,0.8823529411764706,0.9375,0.7894736842105263,0,True
3,3,OK,0.820517,206,31,98,108,20,11,35,11,0.0,1.0,0.85,0.9189189189189189,0.5483870967741935,0,True
3,4,OK,0.7888,208,29,99,109,19,10,36,10,0.0,1.0,0.7894736842105263,0.8823529411764706,0.5172413793103449,0,True
3,5,OK,0.576,80,157,57,23,61,96,34,12,0.125,0.8356164383561644,1.0,0.9104477611940298,0.46496815286624205,12,False
