threshold,n,leakage_groups,tp,fp,tn,fn,technical_far,false_rejection_rate,precision,recall,specificity,f1,balanced_accuracy,g_mean,youden_j,coverage,accepted_high_risk_proxy_failures,group_weighted,fixed_group_cv_f1_std,is_selected
0.0,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.001,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.002,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.003,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.004,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.005,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.006,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.007,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.008,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.009,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.01,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.011,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.012,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.013,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.014,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.015,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.016,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.017,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.018,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.019,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.02,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.021,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.022,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.023,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.024,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.025,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.026,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.027,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.028,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.029,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.03,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
