repeat,fold,threshold,test_case_count,test_leakage_group_count,test_pass,test_fail,test_tp,test_fp,test_tn,test_fn,test_far,test_precision,test_recall,test_f1,test_specificity,test_balanced_accuracy,test_g_mean,test_coverage,test_accepted_high_risk_proxy_failures,test_rejected_technical_pass_cases
1,1,0.78,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
1,1,0.7888,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
1,2,0.78,19,10,14,5,14.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7368421052631579,0,0
1,2,0.7888,19,10,14,5,14.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7368421052631579,0,0
1,3,0.78,20,12,17,3,15.0,0.0,3.0,2.0,0.0,1.0,0.8823529411764706,0.9375,1.0,0.9411764705882353,0.9393364366277243,0.75,0,2
1,3,0.7888,20,12,17,3,15.0,0.0,3.0,2.0,0.0,1.0,0.8823529411764706,0.9375,1.0,0.9411764705882353,0.9393364366277243,0.75,0,2
1,4,0.78,14,12,12,2,11.0,0.0,2.0,1.0,0.0,1.0,0.9166666666666666,0.9565217391304348,1.0,0.9583333333333333,0.9574271077563381,0.7857142857142857,0,1
1,4,0.7888,14,12,12,2,11.0,0.0,2.0,1.0,0.0,1.0,0.9166666666666666,0.9565217391304348,1.0,0.9583333333333333,0.9574271077563381,0.7857142857142857,0,1
1,5,0.78,183,11,74,109,62.0,0.0,109.0,12.0,0.0,1.0,0.8378378378378378,0.911764705882353,1.0,0.9189189189189189,0.9153348228041135,0.33879781420765026,0,12
1,5,0.7888,183,11,74,109,62.0,0.0,109.0,12.0,0.0,1.0,0.8378378378378378,0.911764705882353,1.0,0.9189189189189189,0.9153348228041135,0.33879781420765026,0,12
2,1,0.78,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
2,1,0.7888,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
2,2,0.78,13,12,12,1,12.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0,0
2,2,0.7888,13,12,12,1,12.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0,0
2,3,0.78,27,11,21,6,18.0,0.0,6.0,3.0,0.0,1.0,0.8571428571428571,0.923076923076923,1.0,0.9285714285714286,0.9258200997725514,0.6666666666666666,0,3
2,3,0.7888,27,11,21,6,18.0,0.0,6.0,3.0,0.0,1.0,0.8571428571428571,0.923076923076923,1.0,0.9285714285714286,0.9258200997725514,0.6666666666666666,0,3
2,4,0.78,40,12,25,15,21.0,0.0,15.0,4.0,0.0,1.0,0.84,0.9130434782608696,1.0,0.9199999999999999,0.916515138991168,0.525,0,4
