repeat,fold,status,train_size,test_size,train_pass,train_fail,test_pass,test_fail,train_leakage_groups,test_leakage_groups,training_threshold,test_technical_far,test_precision,test_recall,test_f1,test_coverage,test_accepted_high_risk_proxy_failures,test_far_le_5pct
1,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
1,2,NO_VALID_TRAINING_THRESHOLD,218,19,104,114,14,5,36,10,,,,,,,,
1,3,NO_VALID_TRAINING_THRESHOLD,217,20,101,116,17,3,34,12,,,,,,,,
1,4,NO_VALID_TRAINING_THRESHOLD,223,14,106,117,12,2,34,12,,,,,,,,
1,5,OK,54,183,44,10,74,109,35,11,0.961509,0.027522935779816515,0.9302325581395349,0.5405405405405406,0.6837606837606837,0.23497267759562843,3,True
2,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
2,2,NO_VALID_TRAINING_THRESHOLD,224,13,106,118,12,1,34,12,,,,,,,,
2,3,NO_VALID_TRAINING_THRESHOLD,210,27,97,113,21,6,35,11,,,,,,,,
2,4,NO_VALID_TRAINING_THRESHOLD,197,40,93,104,25,15,34,12,,,,,,,,
2,5,NO_VALID_TRAINING_THRESHOLD,81,156,59,22,59,97,36,10,,,,,,,,
3,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
3,2,NO_VALID_TRAINING_THRESHOLD,218,19,101,117,17,2,34,12,,,,,,,,
3,3,NO_VALID_TRAINING_THRESHOLD,206,31,98,108,20,11,35,11,,,,,,,,
3,4,NO_VALID_TRAINING_THRESHOLD,208,29,99,109,19,10,36,10,,,,,,,,
3,5,NO_VALID_TRAINING_THRESHOLD,80,157,57,23,61,96,34,12,,,,,,,,
4,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
4,2,NO_VALID_TRAINING_THRESHOLD,215,22,102,113,16,6,34,12,,,,,,,,
4,3,NO_VALID_TRAINING_THRESHOLD,216,21,102,114,16,5,34,12,,,,,,,,
4,4,NO_VALID_TRAINING_THRESHOLD,217,20,101,116,17,3,34,12,,,,,,,,
4,5,NO_VALID_TRAINING_THRESHOLD,64,173,50,14,68,105,37,9,,,,,,,,
5,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
5,2,NO_VALID_TRAINING_THRESHOLD,208,29,96,112,22,7,33,13,,,,,,,,
5,3,NO_VALID_TRAINING_THRESHOLD,222,15,108,114,10,5,40,6,,,,,,,,
5,4,NO_VALID_TRAINING_THRESHOLD,213,24,100,113,18,6,33,13,,,,,,,,
5,5,NO_VALID_TRAINING_THRESHOLD,69,168,51,18,67,101,33,13,,,,,,,,
6,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
6,2,NO_VALID_TRAINING_THRESHOLD,192,45,88,104,30,15,35,11,,,,,,,,
6,3,NO_VALID_TRAINING_THRESHOLD,229,8,110,119,8,0,38,8,,,,,,,,
6,4,NO_VALID_TRAINING_THRESHOLD,224,13,106,118,12,1,34,12,,,,,,,,
6,5,NO_VALID_TRAINING_THRESHOLD,67,170,51,16,67,103,32,14,,,,,,,,
7,1,NO_VALID_TRAINING_THRESHOLD,235,2,117,118,1,1,45,1,,,,,,,,
7,2,NO_VALID_TRAINING_THRESHOLD,217,20,100,117,18,2,33,13,,,,,,,,
7,3,NO_VALID_TRAINING_THRESHOLD,229,8,111,118,7,1,39,7,,,,,,,,
7,4,NO_VALID_TRAINING_THRESHOLD,223,14,106,117,12,2,34,12,,,,,,,,
7,5,OK,44,193,38,6,80,113,33,13,0.961509,0.02654867256637168,0.9361702127659575,0.55,0.6929133858267718,0.24352331606217617,3,True
8,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
8,2,NO_VALID_TRAINING_THRESHOLD,221,16,107,114,11,5,39,7,,,,,,,,
8,3,OK,207,30,97,110,21,9,34,12,0.966,0.2222222222222222,0.875,0.6666666666666666,0.7567567567567567,0.5333333333333333,2,False
8,4,NO_VALID_TRAINING_THRESHOLD,217,20,101,116,17,3,34,12,,,,,,,,
8,5,NO_VALID_TRAINING_THRESHOLD,67,170,50,17,68,102,32,14,,,,,,,,
9,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
9,2,NO_VALID_TRAINING_THRESHOLD,230,7,111,119,7,0,39,7,,,,,,,,
9,3,NO_VALID_TRAINING_THRESHOLD,208,29,97,111,21,8,34,12,,,,,,,,
9,4,NO_VALID_TRAINING_THRESHOLD,213,24,101,112,17,7,33,13,,,,,,,,
9,5,NO_VALID_TRAINING_THRESHOLD,61,176,46,15,72,104,33,13,,,,,,,,
10,1,NO_VALID_TRAINING_THRESHOLD,236,1,117,119,1,0,45,1,,,,,,,,
10,2,NO_VALID_TRAINING_THRESHOLD,231,6,112,119,6,0,40,6,,,,,,,,
10,3,NO_VALID_TRAINING_THRESHOLD,206,31,97,109,21,10,34,12,,,,,,,,
10,4,NO_VALID_TRAINING_THRESHOLD,222,15,105,117,13,2,33,13,,,,,,,,
10,5,NO_VALID_TRAINING_THRESHOLD,53,184,41,12,77,107,32,14,,,,,,,,
