analysis,n,pass,fail,leakage_groups,group_weighted,status,threshold,tp,fp,tn,fn,technical_far,false_rejection_rate,precision,recall,specificity,f1,balanced_accuracy,g_mean,youden_j,coverage,accepted_high_risk_proxy_failures,fixed_group_cv_f1_std,noise_rate,iteration,flipped_labels,selected_threshold,evaluation_against_original_weak_labels_far,evaluation_against_original_weak_labels_recall,evaluation_against_original_weak_labels_f1,material_decision_change
HIGH_only,237,118,119,46,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH_plus_MEDIUM,269,127,142,55,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
all_technically_usable,270,127,143,55,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
group_weighted_leakage_groups,270,127,143,55,True,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
without_quality_flag_cases,262,127,135,55,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
including_quality_flag_cases,270,127,143,55,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
source_type:helvetia_pdf,47,28,19,5,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
source_type:insuranceqa,61,40,21,40,False,VALID,0.961509,29.0,0.0,21.0,11.0,0.0,0.275,1.0,0.725,1.0,0.8405797101449275,0.8625,0.85146931829632,0.7250000000000001,0.47540983606557374,0,,,,,,,,,
source_type:legacy_synthetic,9,9,0,9,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
source_type:synthetic_crm,153,50,103,1,False,VALID,0.9575,25.0,0.0,103.0,25.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.75,0.7071067811865476,0.5,0.16339869281045752,0,,,,,,,,,
mutation_type:answer_from_distractor_document,7,0,7,7,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:citation_mismatch,4,0,4,4,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:correct_fact_but_wrong_entity,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:correct_number_but_wrong_policy,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:cross_product_confusion,5,0,5,5,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:exact_answer,12,12,0,12,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:exact_supported_excerpt,19,19,0,5,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:insufficient_evidence,2,0,2,2,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:legacy_supported_candidate,9,9,0,9,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:partially_supported_answer,5,0,5,5,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:reversed_coverage,6,0,6,5,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:supported_answer_preface,13,13,0,13,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:supported_answer_with_citation,15,15,0,15,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:supported_claim_record,1,1,0,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:supported_coverage_status_dates,16,16,0,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:supported_current_policy,1,1,0,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:supported_deductible_and_premium,16,16,0,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:supported_excerpt_with_citation,9,9,0,5,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:supported_policy_multi_claim,16,16,0,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:unsupported_claim_decision,8,0,8,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:unsupported_extra_claim,4,0,4,4,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_coverage,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_current_policy,5,0,5,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_customer,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_date,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_deductible,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_limit,5,0,5,4,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_percentage,2,0,2,2,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_policy,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_policy_status,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_type:wrong_premium,10,0,10,1,False,NOT_IDENTIFIABLE_OR_NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,,,,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,1,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,2,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,3,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,4,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,5,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,6,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,7,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,8,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,9,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,10,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,11,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,12,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,13,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,14,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,15,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,16,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,17,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,18,2,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.01,19,2,,,,,
