model,case_id,correct_rank,top5_candidate_ids,run_1_ms,run_2_ms,run_3_ms,rankings_stable,mandatory_pass
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1001_en,1,policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_phv_2026_1002|policy_test_kfz_2026_1101|policy_test_kfz_2026_1401,1204.230,641.790,611.238,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1001_de,1,policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_phv_2026_1002|policy_test_kfz_2026_1101|policy_test_kfz_2026_1401,609.712,517.229,513.331,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1001_mixed,1,policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_phv_2026_1002|policy_test_kfz_2026_1101|policy_test_kfz_2026_1701,716.172,561.942,1394.471,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1002_en,1,policy_test_phv_2026_1002|policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_phv_2026_1601|policy_test_phv_2026_1902,1457.595,1246.943,1680.771,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1002_de,2,policy_test_kfz_2026_1001|policy_test_phv_2026_1002|policy_test_kfz_2026_1003|policy_test_kfz_2026_1101|policy_test_phv_2025_1301,1602.001,1134.629,1171.374,True,False
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1002_mixed,3,policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_phv_2026_1002|policy_test_kfz_2026_1101|policy_test_phv_2026_1601,1216.200,1160.124,1023.748,True,False
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1003_en,2,policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_phv_2026_1002|policy_test_kfz_2026_1101|policy_test_kfz_2026_1701,1341.476,1040.016,1002.670,True,False
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1003_de,2,policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_phv_2026_1002|policy_test_kfz_2026_1101|policy_test_kfz_2026_1701,1509.020,1833.648,1494.961,True,False
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1003_mixed,2,policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_phv_2026_1002|policy_test_kfz_2026_1101|policy_test_kfz_2026_1401,1615.397,1066.430,1135.171,True,False
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1101_en,1,policy_test_kfz_2026_1101|policy_test_kfz_2026_1701|policy_test_kfz_2026_1401|policy_test_kfz_2026_1001|policy_test_kfz_2026_1901,1104.982,918.724,1088.209,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1101_de,1,policy_test_kfz_2026_1101|policy_test_kfz_2026_1701|policy_test_kfz_2026_1401|policy_test_kfz_2026_1001|policy_test_kfz_2026_1003,1003.433,1142.132,1323.384,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1101_mixed,1,policy_test_kfz_2026_1101|policy_test_kfz_2026_1001|policy_test_kfz_2026_1401|policy_test_kfz_2026_1701|policy_test_kfz_2026_1003,998.421,990.805,1092.693,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1201_en,1,policy_test_hh_2026_1201|policy_test_rs_2026_1202|policy_test_hh_2026_1402|policy_test_hh_2026_1801|policy_test_kfz_2026_1001,1047.954,1056.496,1051.233,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1201_de,1,policy_test_hh_2026_1201|policy_test_rs_2026_1202|policy_test_hh_2026_1801|policy_test_phv_2026_1002|policy_test_rs_2026_1501,1330.654,1295.452,1389.314,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1201_mixed,1,policy_test_hh_2026_1201|policy_test_rs_2026_1202|policy_test_hh_2026_1801|policy_test_kfz_2026_1001|policy_test_rs_2026_1501,1251.480,1211.103,1046.809,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_rs_2026_1202_en,1,policy_test_rs_2026_1202|policy_test_hh_2026_1201|policy_test_rs_2026_1501|policy_test_rs_2026_1702|policy_test_hh_2026_1801,976.915,983.112,1030.590,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_rs_2026_1202_de,1,policy_test_rs_2026_1202|policy_test_hh_2026_1201|policy_test_hh_2026_1801|policy_test_kfz_2026_1001|policy_test_rs_2026_1702,1179.207,1224.712,1179.473,True,True
